data_horario;user_home;user_away;team_home;team_away;resultado;Score_end_home;Score_end_away;target_class;team_playing_home;team_playing_away
2021-03-07 05:58:00;IT29;STRATEG;LIVERPOOL (IT29) ESPORTS;BAYERN (STRATEG) ESPORTS;0-2;0;2;2;LIVERPOOL;BAYERN
2021-03-07 05:58:00;NAZARIO;DISCODANCER;REAL MADRID (NAZARIO) ESPORTS;PSG (DISCODANCER) ESPORTS;1-1;1;1;0;REAL MADRID;PSG
2021-03-07 06:20:00;IT29;DISCODANCER;MAN CITY (IT29) ESPORTS;CHELSEA (DISCODANCER) ESPORTS;0-2;0;2;2;MAN CITY;CHELSEA
2021-03-07 06:20:00;NAZARIO;KRAVARK;TOTTENHAM (NAZARIO) ESPORTS;MAN UTD (KRAVARK) ESPORTS;1-6;1;6;2;TOTTENHAM;MAN UTD
2021-03-07 06:32:00;KRAVARK;IT29;MAN UTD (KRAVARK) ESPORTS;MAN CITY (IT29) ESPORTS;0-1;0;1;2;MAN UTD;MAN CITY
2021-03-07 06:32:00;DISCODANCER;STRATEG;CHELSEA (DISCODANCER) ESPORTS;LIVERPOOL (STRATEG) ESPORTS;2-3;2;3;2;CHELSEA;LIVERPOOL
2021-03-07 06:44:00;IT29;NAZARIO;MAN CITY (IT29) ESPORTS;TOTTENHAM (NAZARIO) ESPORTS;4-1;4;1;1;MAN CITY;TOTTENHAM
2021-03-07 06:44:00;STRATEG;KRAVARK;LIVERPOOL (STRATEG) ESPORTS;MAN UTD (KRAVARK) ESPORTS;0-3;0;3;2;LIVERPOOL;MAN UTD
2021-03-07 06:56:00;KRAVARK;DISCODANCER;MAN UTD (KRAVARK) ESPORTS;CHELSEA (DISCODANCER) ESPORTS;0-3;0;3;2;MAN UTD;CHELSEA
2021-03-07 06:56:00;NAZARIO;STRATEG;TOTTENHAM (NAZARIO) ESPORTS;LIVERPOOL (STRATEG) ESPORTS;0-1;0;1;2;TOTTENHAM;LIVERPOOL
2021-03-07 07:08:00;DISCODANCER;NAZARIO;CHELSEA (DISCODANCER) ESPORTS;TOTTENHAM (NAZARIO) ESPORTS;5-2;5;2;1;CHELSEA;TOTTENHAM
2021-03-07 07:08:00;STRATEG;IT29;LIVERPOOL (STRATEG) ESPORTS;MAN CITY (IT29) ESPORTS;2-1;2;1;1;LIVERPOOL;MAN CITY
2021-03-07 07:20:00;DISCODANCER;IT29;CHELSEA (DISCODANCER) ESPORTS;MAN CITY (IT29) ESPORTS;2-1;2;1;1;CHELSEA;MAN CITY
2021-03-07 07:20:00;KRAVARK;NAZARIO;MAN UTD (KRAVARK) ESPORTS;TOTTENHAM (NAZARIO) ESPORTS;0-5;0;5;2;MAN UTD;TOTTENHAM
2021-03-07 07:32:00;STRATEG;DISCODANCER;LIVERPOOL (STRATEG) ESPORTS;CHELSEA (DISCODANCER) ESPORTS;3-0;3;0;1;LIVERPOOL;CHELSEA
2021-03-07 07:32:00;IT29;KRAVARK;MAN CITY (IT29) ESPORTS;MAN UTD (KRAVARK) ESPORTS;4-2;4;2;1;MAN CITY;MAN UTD
2021-03-07 07:44:00;KRAVARK;STRATEG;MAN UTD (KRAVARK) ESPORTS;LIVERPOOL (STRATEG) ESPORTS;1-4;1;4;2;MAN UTD;LIVERPOOL
2021-03-07 07:44:00;NAZARIO;IT29;TOTTENHAM (NAZARIO) ESPORTS;MAN CITY (IT29) ESPORTS;0-0;0;0;0;TOTTENHAM;MAN CITY
2021-03-07 07:56:00;DISCODANCER;KRAVARK;CHELSEA (DISCODANCER) ESPORTS;MAN UTD (KRAVARK) ESPORTS;1-3;1;3;2;CHELSEA;MAN UTD
2021-03-07 07:56:00;STRATEG;NAZARIO;LIVERPOOL (STRATEG) ESPORTS;TOTTENHAM (NAZARIO) ESPORTS;3-0;3;0;1;LIVERPOOL;TOTTENHAM
2021-03-07 08:08:00;IT29;STRATEG;MAN CITY (IT29) ESPORTS;LIVERPOOL (STRATEG) ESPORTS;0-0;0;0;0;MAN CITY;LIVERPOOL
2021-03-07 08:08:00;NAZARIO;DISCODANCER;TOTTENHAM (NAZARIO) ESPORTS;CHELSEA (DISCODANCER) ESPORTS;1-0;1;0;1;TOTTENHAM;CHELSEA
2021-03-07 08:40:00;REBELS;PLEVIS;GERMANY (REBELS) ESPORTS;PORTUGAL (PLEVIS) ESPORTS;1-1;1;1;0;GERMANY;PORTUGAL
2021-03-07 08:52:00;PLEVIS;SLEZAINTIMA;PORTUGAL (PLEVIS) ESPORTS;BELGIUM (SLEZAINTIMA) ESPORTS;1-0;1;0;1;PORTUGAL;BELGIUM
2021-03-07 09:04:00;REBELS;FOGGY;GERMANY (REBELS) ESPORTS;BRAZIL (FOGGY) ESPORTS;2-2;2;2;0;GERMANY;BRAZIL
2021-03-07 09:16:00;FOGGY;SLEZAINTIMA;BRAZIL (FOGGY) ESPORTS;BELGIUM (SLEZAINTIMA) ESPORTS;3-0;3;0;1;BRAZIL;BELGIUM
2021-03-07 09:28:00;SLEZAINTIMA;REBELS;BELGIUM (SLEZAINTIMA) ESPORTS;GERMANY (REBELS) ESPORTS;2-1;2;1;1;BELGIUM;GERMANY
2021-03-07 09:28:00;PLEVIS;FOGGY;PORTUGAL (PLEVIS) ESPORTS;BRAZIL (FOGGY) ESPORTS;0-1;0;1;2;PORTUGAL;BRAZIL
2021-03-07 09:40:00;PLEVIS;REBELS;PORTUGAL (PLEVIS) ESPORTS;GERMANY (REBELS) ESPORTS;2-0;2;0;1;PORTUGAL;GERMANY
2021-03-07 09:52:00;SLEZAINTIMA;PLEVIS;BELGIUM (SLEZAINTIMA) ESPORTS;PORTUGAL (PLEVIS) ESPORTS;0-1;0;1;2;BELGIUM;PORTUGAL
